Item,Unit Price(AUD),Quantity,Extended Price(AUD),Extended Price(USD),Notes,Link
OLED,18.49,1,18.49,13.22,N/A,https://www.aliexpress.com/item/1005009013981317.html
Buttons,3.79,1,3.79,2.71,50 in pack,https://www.aliexpress.com/item/1005001813038293.html
Green LED,0,1,0,0,owned,N/A
Red LED,0,1,0,0,owned,N/A
1K resistor,0,2,0,0,owned,N/A
100K resistor,0,2,0,0,owned,N/A
1.2K resistor,2.48,1,2.48,1.77,300 per pack,https://www.aliexpress.com/item/1005011779163101.html
TP4056,4.01,1,4.01,2.87,10 per pack - TC4056A,https://www.aliexpress.com/item/1005010183126676.html
1100mAh battery,0,1,0,0,owned,https://core-electronics.com.au/polymer-lithium-ion-battery-1000mah-38458.html
SPDT switch,2.89,1,2.89,2.07,50 per pack,https://www.aliexpress.com/item/4000685483225.html
DMG2305UX P-MOSFET,6.14,1,6.14,4.39,30 per pack,https://www.aliexpress.com/item/1005007188534627.html
M3 screws,0,8,0,0,owned,N/A